index,0
patient,1266
right,883
diagnosis,878
left,865
preoperative,507
procedure,479
yearold,472
history,447
performed,415
diagnoses,381
general,279
pain,243
blood,221
loss,206
female,203
bilateral,192
normal,180
cc,172
anesthesia,168
present,159
illness,156
room,154
male,152
placed,142
chronic,140
disease,138
operating,137
chest,137
consent,136
exam,135
upper,130
well,130
cervical,128
seen,126
anterior,124
time,123
without,122
post,122
lower,120
heart,118
obtained,116
cm,116
status,115
endotracheal,115
prepped,114
informed,109
x,103
artery,102
acute,100
ct,99
severe,99
also,97
today,95
draped,95
surgery,95
back,94
detail,93
brought,92
mg,92
approximately,91
renal,89
coronary,88
abdomen,88
taken,86
posterior,85
lateral,83
dr,83
risks,82
mass,82
position,82
two,81
examination,81
mm,81
operation,80
last,79
total,78
abdominal,78
knee,75
past,74
local,74
fracture,74
distal,73
presented,73
open,71
evaluation,71
states,70
findings,69
hospital,69
presents,68
breast,68
multiple,68
prior,67
carpal,67
using,67
l,66
nasal,66
complaint,66
supine,65
subjective,65
symptoms,64
skin,64
ago,64
placement,63
usual,63
incision,62
fashion,62
excision,61
repair,61
foot,61
medical,61
eye,61
iv,60
done,60
bleeding,59
reason,59
recurrent,59
day,59
negative,59
cancer,59
bladder,59
admitted,58
cardiac,58
significant,58
sterile,58
biopsy,58
weeks,58
noted,58
large,57
first,57
neck,57
contrast,57
secondary,57
carcinoma,56
found,56
infection,56
ml,55
femoral,55
one,55
years,55
possible,55
laparoscopic,55
evidence,54
lobe,54
chief,54
images,53
side,53
failure,53
hypertension,52
including,52
tunnel,52
cell,52
body,51
medial,51
pulmonary,51
benefits,51
since,51
white,51
pressure,50
operative,50
stenosis,50
nerve,49
visit,49
denies,49
days,49
removal,49
underwent,49
head,49
insertion,49
made,48
yo,48
weight,48
low,48
extremity,48
colon,48
patients,47
inguinal,47
resection,47
lung,47
bone,47
lidocaine,47
pelvic,46
carotid,46
syndrome,46
tube,46
given,46
woman,45
used,45
gentleman,45
started,45
rate,45
months,45
internal,45
lumbar,45
abnormal,44
cataract,44
tumor,44
second,43
hours,43
surgical,43
followup,43
medications,43
ventricular,42
tissue,42
deformity,42
explained,42
procedures,42
shoulder,42
showed,41
abc,41
treated,41
less,41
difficulty,41
recently,41
uterus,41
pregnancy,41
wall,41
valve,41
per,41
pelvis,40
signs,40
size,39
small,39
ultrasound,39
partial,39
several,39
year,39
mild,39
lid,39
respiratory,39
obstruction,39
note,39
within,38
aortic,38
minutes,38
comes,38
diagnosed,38
french,38
emergency,38
postoperative,38
stress,38
care,38
foreign,38
office,38
family,38
block,37
prostate,37
week,37
intravenous,37
referred,37
axial,37
previous,37
home,36
clinic,36
pleasant,36
