index,0
and,1049
of,932
the,788
surgery,669
Surgery,648
with,643
a,410
right,409
left,406
to,316
pulmonary,243
for,217
was,216
patient,215
cardiovascular,195
orthopedic,192
Orthopedic,191
CardiovascularPulmonary,182
in,171
radiology,159
Radiology,159
pain,147
Consult-HistoryandPhy.,141
consult-historyandphy.,138
gastroenterology,128
artery,125
Gastroenterology,124
is,115
Neurology,113
on,112
ct,110
neurology,108
soap,107
bilateral,103
chest,100
GeneralMedicine,97
SOAPChartProgressNotes,97
Urology,95
biopsy,95
coronary,94
urology,94
chart,91
history,90
generalmedicine,89
progressnotes,87
anterior,87
yearold,85
laparoscopic,83
eye,82
mri,80
stenosis,80
cervical,80
an,78
abdomen,73
incision,73
ObstetricsGynecology,73
at,70
foot,70
mass,70
contrast,70
knee,69
gynecology,69
has,68
obstetrics,67
as,66
ENT-Otolaryngology,66
disease,65
ultrasound,64
heart,64
abdominal,63
she,63
hypertension,62
renal,62
chronic,61
fracture,61
angiography,60
her,60
ent-otolaryngology,58
normal,58
catheterization,57
lower,57
repair,57
ophthalmology,56
insertion,56
bladder,56
bronchoscopy,55
female,55
neurosurgery,54
Ophthalmology,54
excision,54
upper,54
had,53
shoulder,53
catheter,52
placement,51
Neurosurgery,51
uterus,51
tumor,50
carcinoma,50
anesthesia,50
acute,49
colonoscopy,48
carpal,48
breast,48
ventricular,48
respiratory,47
post,47
needle,47
without,46
lumbar,46
total,45
dischargesummary,44
nerve,44
lung,44
open,44
hernia,44
back,44
male,43
painmanagement,43
by,43
neck,43
exam,43
syndrome,43
cystoscopy,43
status,43
DischargeSummary,42
femoral,42
were,41
stress,41
release,41
posterior,41
PainManagement,41
pelvis,41
bypass,40
carotid,40
injection,40
nasal,40
distal,40
tunnel,39
spine,39
internal,39
bone,39
fixation,39
nausea,39
from,39
removal,39
dissection,39
bleeding,39
fluoroscopy,39
nephrology,38
debridement,38
inguinal,38
prostate,38
decompression,38
tube,37
anemia,37
secondary,37
brain,37
coronaryartery,37
aortic,37
metatarsal,37
Nephrology,37
subcutaneous,37
cataract,37
skin,37
who,36
pelvic,36
myocardial,36
infection,36
valve,36
vein,36
vaginal,36
diabetes,35
adhesions,35
head,35
cc,35
echocardiogram,35
venous,35
atrial,35
therapy,35
wound,35
cholecystectomy,34
arthroplasty,34
fusion,34
Hematology-Oncology,34
scan,34
or,34
this,34
physical,33
cardiac,33
reduction,33
biopsies,32
lobe,32
using,32
pregnancy,32
phacoemulsification,32
endotracheal,32
lens,32
which,32
laparoscopy,32
no,31
well,31
that,31
drainage,31
intrauterine,31
followup,31
tissue,31
tendon,31
hemostasis,31
his,30
ligament,30
hip,30
lateral,30
podiatry,30
extremity,30
lidocaine,30
transverse,30
multiple,30
evaluation,30
resection,30
hematology-oncology,30
x,30
cyst,29
abscess,29
endoscopy,29
esophagogastroduodenoscopy,29
epidural,29
fascia,29
colon,29
l,28
Podiatry,28
radiculopathy,28
he,28
severe,28
cancer,28
OfficeNotes,28
cm,28
uterine,28
swelling,28
hysterectomy,28
esophagus,27
officenotes,27
c,27
anteriorcervicaldiscectomy,27
discectomy,27
osteotomy,27
adenocarcinoma,27
graft,26
tonsillectomy,26
under,26
arthroscopy,26
proximal,26
cholecystitis,26
closure,26
lesions,26
lymph,26
adenoidectomy,26
ear,26
tourniquet,26
out,26
loss,25
injury,25
joint,25
Pediatrics-Neonatal,25
tear,25
gallbladder,25
sterilization,25
hypertrophy,25
subclavian,25
low,25
laceration,25
bowel,25
cell,25
failure,25
possible,25
performed,25
effusion,25
hematoma,24
fiberoptic,24
recurrent,24
due,24
anastomosis,24
medial,24
electrocautery,24
